OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
nprime = 435
npripri = 406
./trajdata100/train_lih_6-311ppgss.npy
Sizes of ptrain and pdot:
[(20000, 29, 29), (20000, 29, 29)]
Loss at truetheta:
6.043601238389638e-18
len(theta) = 707281
len(jac) = 16820000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33640000 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    40000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  1.497e+02  2.101e+04   1.0e+00  9.4e-01
     1  2.25474e-03  9.811e+01  6.693e+03   6.6e-01  3.7e-01  1.8e+02  1.0e+00
     2  7.71711e-03  7.115e+01  3.963e+03   4.8e-01  2.5e-01  2.2e+02  2.1e+00
     3  1.35764e-02  5.158e+01  2.480e+03   3.4e-01  1.9e-01  2.5e+02  2.3e+00
     4  1.68576e-02  4.366e+01  1.849e+03   2.9e-01  1.5e-01  2.9e+02  2.0e+00
     5  2.06999e-02  3.508e+01  1.424e+03   2.3e-01  1.2e-01  3.3e+02  2.8e+00
     6  2.54084e-02  2.540e+01  9.442e+02   1.7e-01  1.0e-01  3.6e+02  2.6e+00
     7  2.68229e-02  2.226e+01  7.886e+02   1.5e-01  9.4e-02  3.8e+02  2.5e+00
     8  2.88338e-02  1.704e+01  5.646e+02   1.1e-01  8.0e-02  4.1e+02  2.9e+00
     9  3.00627e-02  1.409e+01  4.065e+02   9.4e-02  6.6e-02  4.3e+02  2.5e+00
    10  3.05048e-02  1.297e+01  3.513e+02   8.7e-02  6.0e-02  4.5e+02  2.9e+00
    20  3.31722e-02  5.522e+00  6.246e+01   3.7e-02  1.8e-02  6.4e+02  3.2e+00
    30  3.34476e-02  4.072e+00  2.608e+01   2.7e-02  8.3e-03  7.7e+02  7.7e+00
    40  3.39455e-02  2.892e+00  1.422e+01   1.9e-02  5.7e-03  8.6e+02  9.4e+00
    50  3.41419e-02  2.193e+00  8.585e+00   1.5e-02  4.3e-03  9.2e+02  7.5e+00
    60  3.40686e-02  1.834e+00  6.121e+00   1.2e-02  3.3e-03  1.0e+03  7.5e+00
    70  3.38894e-02  1.562e+00  4.498e+00   1.0e-02  2.6e-03  1.1e+03  1.4e+01
    80  3.36617e-02  1.355e+00  3.450e+00   9.1e-03  2.2e-03  1.2e+03  1.1e+01
