OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100 80GB PCIe
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:E3:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
len(theta) = 4477456
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 4477456 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  2.094e+03  5.494e+05   1.0e+00  1.3e-01
     1  1.21042e-01  7.458e+02  1.752e+05   3.6e-01  8.4e-01  2.8e+02  1.0e+00
     2  1.93169e-01  2.748e+02  5.702e+04   1.3e-01  5.1e-01  4.0e+02  1.1e+00
     3  2.16818e-01  1.465e+02  1.817e+04   7.0e-02  2.5e-01  5.0e+02  1.1e+00
     4  2.20187e-01  1.234e+02  1.002e+04   5.9e-02  1.5e-01  5.6e+02  1.3e+00
     5  2.20699e-01  1.098e+02  6.408e+03   5.2e-02  9.5e-02  6.2e+02  1.7e+00
     6  2.20436e-01  1.010e+02  3.976e+03   4.8e-02  5.9e-02  6.7e+02  1.8e+00
     7  2.20604e-01  9.784e+01  2.484e+03   4.7e-02  3.5e-02  7.2e+02  1.5e+00
     8  2.21067e-01  9.658e+01  2.006e+03   4.6e-02  2.7e-02  7.6e+02  2.1e+00
     9  2.21542e-01  9.523e+01  1.750e+03   4.5e-02  2.3e-02  8.0e+02  3.1e+00
    10  2.21799e-01  9.366e+01  1.514e+03   4.5e-02  1.9e-02  8.4e+02  3.0e+00
    20  2.13922e-01  7.539e+01  8.336e+02   3.6e-02  9.5e-03  1.2e+03  4.3e+00
    30  1.97983e-01  6.131e+01  5.496e+02   2.9e-02  6.3e-03  1.4e+03  5.6e+00
    40  1.85679e-01  4.957e+01  3.865e+02   2.4e-02  4.8e-03  1.6e+03  6.5e+00
    50  1.76510e-01  4.078e+01  2.789e+02   1.9e-02  3.7e-03  1.8e+03  7.1e+00
    60  1.73546e-01  3.427e+01  2.073e+02   1.6e-02  3.0e-03  2.0e+03  6.5e+00
    70  1.74224e-01  2.954e+01  1.602e+02   1.4e-02  2.5e-03  2.2e+03  6.5e+00
    80  1.75892e-01  2.593e+01  1.267e+02   1.2e-02  2.1e-03  2.3e+03  7.5e+00
    90  1.77861e-01  2.319e+01  1.036e+02   1.1e-02  1.8e-03  2.4e+03  1.0e+01
   100  1.79027e-01  2.074e+01  8.491e+01   9.9e-03  1.6e-03  2.6e+03  1.0e+01
   110  1.79794e-01  1.870e+01  7.041e+01   8.9e-03  1.4e-03  2.7e+03  8.4e+00
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120  1.80363e-01  1.706e+01  5.954e+01   8.1e-03  1.2e-03  2.8e+03  7.5e+00
   130  1.80874e-01  1.572e+01  5.131e+01   7.5e-03  1.1e-03  2.9e+03  8.8e+00
   140  1.81322e-01  1.456e+01  4.472e+01   7.0e-03  1.0e-03  3.0e+03  1.1e+01
   150  1.81375e-01  1.348e+01  3.898e+01   6.4e-03  9.2e-04  3.1e+03  1.1e+01
   160  1.81339e-01  1.254e+01  3.420e+01   6.0e-03  8.4e-04  3.3e+03  9.9e+00
   170  1.81185e-01  1.174e+01  3.037e+01   5.6e-03  7.7e-04  3.3e+03  9.9e+00
   180  1.81184e-01  1.103e+01  2.720e+01   5.3e-03  7.2e-04  3.4e+03  1.2e+01
   190  1.81069e-01  1.038e+01  2.443e+01   5.0e-03  6.7e-04  3.5e+03  1.2e+01
   200  1.80923e-01  9.784e+00  2.201e+01   4.7e-03  6.2e-04  3.6e+03  1.2e+01
   210  1.80682e-01  9.227e+00  1.984e+01   4.4e-03  5.8e-04  3.7e+03  1.0e+01
   220  1.80524e-01  8.764e+00  1.813e+01   4.2e-03  5.4e-04  3.8e+03  1.2e+01
   230  1.80362e-01  8.320e+00  1.655e+01   4.0e-03  5.1e-04  3.9e+03  1.4e+01
   240  1.80156e-01  7.887e+00  1.506e+01   3.8e-03  4.8e-04  4.0e+03  1.2e+01
   250  1.79845e-01  7.517e+00  1.385e+01   3.6e-03  4.6e-04  4.0e+03  1.1e+01
   260  1.79508e-01  7.189e+00  1.281e+01   3.4e-03  4.3e-04  4.1e+03  1.3e+01
   270  1.79175e-01  6.863e+00  1.182e+01   3.3e-03  4.1e-04  4.2e+03  1.5e+01
   280  1.78916e-01  6.561e+00  1.093e+01   3.1e-03  3.9e-04  4.3e+03  1.2e+01
   290  1.78673e-01  6.289e+00  1.016e+01   3.0e-03  3.7e-04  4.4e+03  1.2e+01
   300  1.78410e-01  6.039e+00  9.479e+00   2.9e-03  3.5e-04  4.4e+03  1.6e+01
   310  1.78099e-01  5.801e+00  8.849e+00   2.8e-03  3.4e-04  4.5e+03  1.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
