OS                           : Linux-5.14.21-150400.24.81_12.0.87-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.19
CuPy Version                 : 13.0.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.26.4
SciPy Version                : 1.13.0
Cython Build Version         : 0.29.36
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2/bin/nvcc
CUDA Build Version           : 12020
CUDA Driver Version          : 12020
CUDA Runtime Version         : 12020 (linked to CuPy) / 12020 (locally installed)
cuBLAS Version               : (available)
cuFFT Version                : 11008
cuRAND Version               : 10303
cuSOLVER Version             : (11, 5, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (12, 2)
Thrust Version               : 200200
CUB Build Version            : 200200
Jitify Build Version         : <unknown>
cuDNN Build Version          : 8801
cuDNN Version                : 8903
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
./trajdata100/train_c2h4_sto-3g.npy
Sizes of ptrain and pdot:
[(199996, 14, 14), (199996, 14, 14)]
len(theta) = 38416
len(jac) = 39199216
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 78398432 rows and 38416 columns
damp = 0.00000000000000e+00

atol = 1.00e-16                 conlim = 1.00e+08

btol = 1.00e-16             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  1.721e+03  1.980e+06   1.0e+00  6.7e-01
     1 -1.05032e-03  5.850e+02  2.150e+05   3.4e-01  3.0e-01  1.2e+03  1.0e+00
     2 -8.79632e-04  3.658e+02  1.512e+05   2.1e-01  3.2e-01  1.3e+03  3.0e+00
     3 -6.62131e-04  1.766e+02  3.831e+04   1.0e-01  1.2e-01  1.8e+03  2.1e+00
     4 -8.35395e-04  1.571e+02  2.768e+04   9.1e-02  9.6e-02  1.8e+03  3.0e+00
     5 -9.24859e-04  1.498e+02  2.582e+04   8.7e-02  8.9e-02  1.9e+03  3.7e+00
     6 -1.96096e-03  8.497e+01  1.334e+04   4.9e-02  7.0e-02  2.3e+03  4.6e+00
     7 -2.02364e-03  8.049e+01  1.250e+04   4.7e-02  6.8e-02  2.3e+03  4.2e+00
     8 -2.49886e-03  5.072e+01  5.425e+03   2.9e-02  4.1e-02  2.6e+03  4.0e+00
     9 -2.49810e-03  4.982e+01  5.213e+03   2.9e-02  4.0e-02  2.6e+03  4.9e+00
    10 -2.40021e-03  3.920e+01  2.983e+03   2.3e-02  2.7e-02  2.9e+03  5.5e+00
    20 -2.51151e-03  2.288e+01  6.765e+02   1.3e-02  7.4e-03  4.0e+03  9.4e+00
    30 -3.03178e-03  1.557e+01  3.196e+02   9.0e-03  4.2e-03  4.8e+03  1.0e+01
    40 -3.22795e-03  1.195e+01  1.540e+02   6.9e-03  2.4e-03  5.5e+03  2.7e+01
    50 -3.21108e-03  1.027e+01  1.092e+02   6.0e-03  1.8e-03  6.0e+03  9.6e+00
    60 -3.13968e-03  8.923e+00  8.374e+01   5.2e-03  1.4e-03  6.6e+03  2.6e+01
    70 -3.08768e-03  7.602e+00  6.364e+01   4.4e-03  1.2e-03  7.1e+03  1.5e+01
    80 -3.03862e-03  6.788e+00  5.085e+01   3.9e-03  9.8e-04  7.6e+03  1.3e+01
    90 -3.01452e-03  6.163e+00  4.045e+01   3.6e-03  8.1e-04  8.1e+03  1.5e+01
   100 -3.08507e-03  5.487e+00  3.267e+01   3.2e-03  7.0e-04  8.5e+03  2.3e+01
   110 -3.29482e-03  4.825e+00  2.557e+01   2.8e-03  5.9e-04  9.0e+03  1.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120 -3.60539e-03  4.401e+00  2.017e+01   2.6e-03  4.9e-04  9.4e+03  1.5e+01
   130 -4.01945e-03  4.128e+00  1.714e+01   2.4e-03  4.2e-04  9.8e+03  6.1e+01
   140 -4.71778e-03  3.828e+00  1.373e+01   2.2e-03  3.5e-04  1.0e+04  1.8e+01
   150 -5.20513e-03  3.676e+00  1.210e+01   2.1e-03  3.1e-04  1.1e+04  3.9e+01
   160 -5.77676e-03  3.529e+00  1.077e+01   2.1e-03  2.8e-04  1.1e+04  3.5e+01
   170 -6.37253e-03  3.395e+00  9.649e+00   2.0e-03  2.5e-04  1.1e+04  3.4e+01
   180 -6.81980e-03  3.304e+00  8.901e+00   1.9e-03  2.3e-04  1.1e+04  4.0e+01
   190 -7.48021e-03  3.178e+00  7.926e+00   1.8e-03  2.1e-04  1.2e+04  2.8e+01
   200 -7.85317e-03  3.110e+00  7.415e+00   1.8e-03  2.0e-04  1.2e+04  4.8e+01
   210 -8.33385e-03  3.023e+00  6.868e+00   1.8e-03  1.8e-04  1.2e+04  8.5e+01
   220 -8.82233e-03  2.937e+00  6.411e+00   1.7e-03  1.7e-04  1.3e+04  3.0e+01
   230 -9.36835e-03  2.845e+00  5.969e+00   1.7e-03  1.6e-04  1.3e+04  1.4e+01
   240 -9.76085e-03  2.783e+00  5.681e+00   1.6e-03  1.5e-04  1.3e+04  5.6e+01
   250 -1.03535e-02  2.691e+00  5.297e+00   1.6e-03  1.5e-04  1.4e+04  5.0e+01
   260 -1.07559e-02  2.630e+00  5.060e+00   1.5e-03  1.4e-04  1.4e+04  2.8e+01
   270 -1.14257e-02  2.532e+00  4.686e+00   1.5e-03  1.3e-04  1.4e+04  2.8e+01
   280 -1.18294e-02  2.474e+00  4.472e+00   1.4e-03  1.3e-04  1.4e+04  8.1e+01
   290 -1.24084e-02  2.392e+00  4.177e+00   1.4e-03  1.2e-04  1.5e+04  3.3e+01
   300 -1.29843e-02  2.309e+00  3.893e+00   1.3e-03  1.1e-04  1.5e+04  3.0e+01
   310 -1.34885e-02  2.238e+00  3.651e+00   1.3e-03  1.1e-04  1.5e+04  6.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320 -1.40057e-02  2.168e+00  3.408e+00   1.3e-03  1.0e-04  1.5e+04  5.4e+01
   330 -1.43776e-02  2.116e+00  3.243e+00   1.2e-03  9.8e-05  1.6e+04  1.5e+01
   340 -1.47946e-02  2.058e+00  3.061e+00   1.2e-03  9.4e-05  1.6e+04  3.9e+01
   350 -1.51901e-02  2.002e+00  2.890e+00   1.2e-03  9.0e-05  1.6e+04  4.4e+01
   360 -1.54567e-02  1.964e+00  2.776e+00   1.1e-03  8.7e-05  1.6e+04  1.5e+01
   370 -1.57269e-02  1.924e+00  2.663e+00   1.1e-03  8.4e-05  1.6e+04  1.6e+01
   380 -1.59468e-02  1.892e+00  2.572e+00   1.1e-03  8.1e-05  1.7e+04  5.3e+01
   390 -1.62238e-02  1.851e+00  2.462e+00   1.1e-03  7.9e-05  1.7e+04  1.9e+01
   400 -1.65419e-02  1.805e+00  2.339e+00   1.0e-03  7.6e-05  1.7e+04  4.4e+01
   410 -1.67549e-02  1.776e+00  2.261e+00   1.0e-03  7.3e-05  1.7e+04  3.7e+01
   420 -1.70299e-02  1.740e+00  2.164e+00   1.0e-03  7.1e-05  1.8e+04  6.3e+01
   430 -1.73666e-02  1.698e+00  2.056e+00   9.9e-04  6.8e-05  1.8e+04  6.5e+01
   440 -1.76262e-02  1.667e+00  1.977e+00   9.7e-04  6.6e-05  1.8e+04  2.8e+01
   450 -1.78748e-02  1.640e+00  1.907e+00   9.5e-04  6.4e-05  1.8e+04  6.6e+01
   460 -1.81798e-02  1.608e+00  1.827e+00   9.3e-04  6.2e-05  1.8e+04  2.1e+01
   470 -1.83773e-02  1.588e+00  1.779e+00   9.2e-04  6.0e-05  1.9e+04  8.8e+01
   480 -1.86478e-02  1.561e+00  1.718e+00   9.1e-04  5.9e-05  1.9e+04  2.3e+01
   490 -1.88462e-02  1.542e+00  1.677e+00   9.0e-04  5.7e-05  1.9e+04  3.4e+01
   500 -1.91495e-02  1.514e+00  1.618e+00   8.8e-04  5.6e-05  1.9e+04  5.5e+01
   510 -1.93452e-02  1.496e+00  1.582e+00   8.7e-04  5.5e-05  1.9e+04  7.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520 -1.97112e-02  1.462e+00  1.517e+00   8.5e-04  5.3e-05  2.0e+04  7.7e+01
   530 -2.00223e-02  1.434e+00  1.465e+00   8.3e-04  5.2e-05  2.0e+04  9.6e+01
   540 -2.03398e-02  1.406e+00  1.412e+00   8.2e-04  5.0e-05  2.0e+04  5.5e+01
   550 -2.05954e-02  1.383e+00  1.371e+00   8.0e-04  4.9e-05  2.0e+04  4.9e+01
   560 -2.07883e-02  1.365e+00  1.340e+00   7.9e-04  4.8e-05  2.0e+04  9.4e+01
   570 -2.10063e-02  1.344e+00  1.305e+00   7.8e-04  4.7e-05  2.0e+04  5.7e+01
   580 -2.12691e-02  1.319e+00  1.263e+00   7.7e-04  4.6e-05  2.1e+04  1.5e+01
   590 -2.14788e-02  1.298e+00  1.229e+00   7.5e-04  4.6e-05  2.1e+04  3.7e+01
   600 -2.17268e-02  1.273e+00  1.188e+00   7.4e-04  4.4e-05  2.1e+04  1.9e+01
   610 -2.19867e-02  1.245e+00  1.143e+00   7.2e-04  4.3e-05  2.1e+04  1.5e+01
