OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-PCIE-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:17:00.0
None
Sizes of ptrain and pdot:
[(40000, 60, 60), (40000, 60, 60)]
len(theta) = 12960000
len(jac) = 144000000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 288000000 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  2.421e+03  1.670e+06   1.0e+00  2.8e-01
     1 -5.69034e-03  1.280e+03  5.887e+05   5.3e-01  5.7e-01  8.1e+02  1.0e+00
     2 -1.40522e-02  4.089e+02  1.830e+05   1.7e-01  4.4e-01  1.0e+03  1.7e+00
     3 -1.63898e-02  2.926e+02  7.786e+04   1.2e-01  2.1e-01  1.3e+03  1.7e+00
     4 -1.90225e-02  2.487e+02  3.434e+04   1.0e-01  9.7e-02  1.4e+03  1.7e+00
     5 -2.00714e-02  2.396e+02  2.693e+04   9.9e-02  7.4e-02  1.5e+03  2.0e+00
     6 -2.16146e-02  2.272e+02  2.321e+04   9.4e-02  6.1e-02  1.7e+03  3.2e+00
     7 -2.38343e-02  2.084e+02  2.017e+04   8.6e-02  5.4e-02  1.8e+03  4.1e+00
     8 -2.80785e-02  1.788e+02  1.391e+04   7.4e-02  4.0e-02  1.9e+03  2.7e+00
     9 -3.05637e-02  1.677e+02  8.949e+03   6.9e-02  2.6e-02  2.0e+03  2.2e+00
    10 -3.11982e-02  1.657e+02  7.587e+03   6.8e-02  2.2e-02  2.1e+03  2.4e+00
    20 -4.42382e-02  1.390e+02  2.265e+03   5.7e-02  5.5e-03  3.0e+03  3.1e+00
    30 -4.64748e-02  1.312e+02  1.656e+03   5.4e-02  3.5e-03  3.6e+03  7.0e+00
    40 -4.68057e-02  1.158e+02  1.379e+03   4.8e-02  2.9e-03  4.2e+03  9.2e+00
    50 -4.92011e-02  9.422e+01  1.045e+03   3.9e-02  2.4e-03  4.6e+03  8.9e+00
    60 -5.12431e-02  8.155e+01  8.246e+02   3.4e-02  2.0e-03  5.1e+03  1.6e+01
    70 -5.25293e-02  7.087e+01  6.495e+02   2.9e-02  1.7e-03  5.5e+03  1.8e+01
    80 -5.35527e-02  6.391e+01  5.431e+02   2.6e-02  1.4e-03  5.9e+03  1.1e+01
    90 -5.50909e-02  5.536e+01  4.192e+02   2.3e-02  1.2e-03  6.2e+03  8.1e+00
   100 -5.56822e-02  5.131e+01  3.616e+02   2.1e-02  1.1e-03  6.5e+03  1.0e+01
   110 -5.62669e-02  4.747e+01  3.209e+02   2.0e-02  9.8e-04  6.9e+03  1.2e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120 -5.68095e-02  4.266e+01  2.709e+02   1.8e-02  8.8e-04  7.2e+03  1.7e+01
   130 -5.72696e-02  3.937e+01  2.374e+02   1.6e-02  8.1e-04  7.5e+03  2.1e+01
   140 -5.78810e-02  3.585e+01  2.004e+02   1.5e-02  7.2e-04  7.8e+03  1.7e+01
   150 -5.82400e-02  3.368e+01  1.784e+02   1.4e-02  6.6e-04  8.0e+03  1.2e+01
   160 -5.88373e-02  3.121e+01  1.550e+02   1.3e-02  6.0e-04  8.3e+03  8.9e+00
   170 -5.90678e-02  2.963e+01  1.419e+02   1.2e-02  5.6e-04  8.5e+03  1.7e+01
   180 -5.95196e-02  2.760e+01  1.257e+02   1.1e-02  5.2e-04  8.8e+03  2.0e+01
   190 -5.98305e-02  2.591e+01  1.123e+02   1.1e-02  4.8e-04  9.0e+03  2.2e+01
   200 -6.01415e-02  2.429e+01  9.952e+01   1.0e-02  4.4e-04  9.3e+03  1.3e+01
   210 -6.02999e-02  2.329e+01  9.218e+01   9.6e-03  4.2e-04  9.5e+03  1.1e+01
   220 -6.05124e-02  2.206e+01  8.336e+01   9.1e-03  3.9e-04  9.7e+03  9.1e+00
   230 -6.06068e-02  2.123e+01  7.774e+01   8.8e-03  3.7e-04  9.9e+03  1.6e+01
   240 -6.07303e-02  2.005e+01  7.013e+01   8.3e-03  3.5e-04  1.0e+04  1.9e+01
   250 -6.08036e-02  1.940e+01  6.591e+01   8.0e-03  3.3e-04  1.0e+04  3.3e+01
   260 -6.08897e-02  1.840e+01  5.977e+01   7.6e-03  3.1e-04  1.1e+04  2.0e+01
   270 -6.09728e-02  1.767e+01  5.544e+01   7.3e-03  2.9e-04  1.1e+04  1.7e+01
   280 -6.10756e-02  1.690e+01  5.108e+01   7.0e-03  2.8e-04  1.1e+04  1.2e+01
   290 -6.11323e-02  1.631e+01  4.767e+01   6.7e-03  2.6e-04  1.1e+04  1.6e+01
   300 -6.11921e-02  1.577e+01  4.478e+01   6.5e-03  2.5e-04  1.1e+04  3.5e+01
   310 -6.12507e-02  1.527e+01  4.220e+01   6.3e-03  2.4e-04  1.2e+04  3.1e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320 -6.13322e-02  1.471e+01  3.940e+01   6.1e-03  2.3e-04  1.2e+04  2.0e+01
   330 -6.13845e-02  1.412e+01  3.646e+01   5.8e-03  2.2e-04  1.2e+04  1.1e+01
   340 -6.14378e-02  1.370e+01  3.440e+01   5.7e-03  2.1e-04  1.2e+04  1.7e+01
   350 -6.14802e-02  1.326e+01  3.230e+01   5.5e-03  2.0e-04  1.2e+04  3.4e+01
   360 -6.15114e-02  1.295e+01  3.090e+01   5.3e-03  1.9e-04  1.2e+04  3.0e+01
   370 -6.15378e-02  1.251e+01  2.897e+01   5.2e-03  1.8e-04  1.3e+04  2.6e+01
   380 -6.15585e-02  1.214e+01  2.735e+01   5.0e-03  1.8e-04  1.3e+04  2.0e+01
   390 -6.15756e-02  1.177e+01  2.578e+01   4.9e-03  1.7e-04  1.3e+04  1.3e+01
   400 -6.15885e-02  1.149e+01  2.460e+01   4.7e-03  1.6e-04  1.3e+04  1.5e+01
   410 -6.16007e-02  1.116e+01  2.328e+01   4.6e-03  1.6e-04  1.3e+04  1.6e+01
   420 -6.16111e-02  1.093e+01  2.235e+01   4.5e-03  1.5e-04  1.3e+04  3.8e+01
   430 -6.16372e-02  1.064e+01  2.124e+01   4.4e-03  1.5e-04  1.4e+04  3.0e+01
   440 -6.16784e-02  1.037e+01  2.023e+01   4.3e-03  1.4e-04  1.4e+04  3.0e+01
   450 -6.17367e-02  1.006e+01  1.905e+01   4.2e-03  1.4e-04  1.4e+04  1.3e+01
   460 -6.17858e-02  9.873e+00  1.838e+01   4.1e-03  1.3e-04  1.4e+04  1.7e+01
   470 -6.18567e-02  9.609e+00  1.744e+01   4.0e-03  1.3e-04  1.4e+04  3.2e+01
   480 -6.19072e-02  9.441e+00  1.686e+01   3.9e-03  1.2e-04  1.4e+04  4.0e+01
   490 -6.19905e-02  9.179e+00  1.597e+01   3.8e-03  1.2e-04  1.4e+04  2.9e+01
   500 -6.20566e-02  8.988e+00  1.532e+01   3.7e-03  1.2e-04  1.5e+04  1.3e+01
   510 -6.21270e-02  8.778e+00  1.463e+01   3.6e-03  1.1e-04  1.5e+04  1.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520 -6.21860e-02  8.634e+00  1.417e+01   3.6e-03  1.1e-04  1.5e+04  3.4e+01
   530 -6.22712e-02  8.441e+00  1.355e+01   3.5e-03  1.1e-04  1.5e+04  4.3e+01
   540 -6.23409e-02  8.294e+00  1.310e+01   3.4e-03  1.0e-04  1.5e+04  3.4e+01
   550 -6.24550e-02  8.101e+00  1.251e+01   3.3e-03  1.0e-04  1.5e+04  2.3e+01
   560 -6.25523e-02  7.953e+00  1.206e+01   3.3e-03  9.8e-05  1.5e+04  1.4e+01
   570 -6.26625e-02  7.797e+00  1.160e+01   3.2e-03  9.5e-05  1.6e+04  1.8e+01
   580 -6.27547e-02  7.680e+00  1.126e+01   3.2e-03  9.3e-05  1.6e+04  2.2e+01
   590 -6.28712e-02  7.530e+00  1.083e+01   3.1e-03  9.1e-05  1.6e+04  3.1e+01
   600 -6.29610e-02  7.422e+00  1.053e+01   3.1e-03  8.9e-05  1.6e+04  4.6e+01
   610 -6.30844e-02  7.277e+00  1.013e+01   3.0e-03  8.6e-05  1.6e+04  3.0e+01
   620 -6.32088e-02  7.140e+00  9.752e+00   2.9e-03  8.4e-05  1.6e+04  2.1e+01
   630 -6.33221e-02  7.023e+00  9.439e+00   2.9e-03  8.2e-05  1.6e+04  2.1e+01
   640 -6.34384e-02  6.913e+00  9.147e+00   2.9e-03  8.0e-05  1.7e+04  3.7e+01
   650 -6.35625e-02  6.802e+00  8.859e+00   2.8e-03  7.8e-05  1.7e+04  4.7e+01
