OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:82:00.0
None
Size of p_train:
(20000, 60, 60)
len(theta) = 12960000
len(jac) = 71985600
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 143971200 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  3.217e+03  9.599e+05   1.0e+00  9.3e-02
     1  4.45035e-04  2.703e+03  4.249e+05   8.4e-01  2.9e-01  5.4e+02  1.0e+00
     2  4.68471e-03  2.398e+03  2.656e+05   7.5e-01  1.6e-01  7.0e+02  1.9e+00
     3  6.24413e-03  2.239e+03  1.932e+05   7.0e-01  1.0e-01  8.5e+02  1.9e+00
     4  5.86062e-03  2.099e+03  1.175e+05   6.5e-01  5.6e-02  1.0e+03  2.0e+00
     5  5.72056e-03  2.059e+03  8.503e+04   6.4e-01  3.7e-02  1.1e+03  1.9e+00
     6  6.45861e-03  2.031e+03  6.291e+04   6.3e-01  2.5e-02  1.2e+03  2.2e+00
     7  8.56407e-03  2.014e+03  4.676e+04   6.3e-01  1.8e-02  1.3e+03  2.2e+00
     8  1.24779e-02  2.004e+03  3.684e+04   6.2e-01  1.3e-02  1.4e+03  2.3e+00
     9  1.79699e-02  1.998e+03  3.193e+04   6.2e-01  1.1e-02  1.5e+03  2.9e+00
    10  2.48766e-02  1.993e+03  2.899e+04   6.2e-01  9.3e-03  1.6e+03  3.5e+00
    20  1.45229e-01  1.933e+03  1.434e+04   6.0e-01  3.3e-03  2.2e+03  4.8e+00
    30  2.43180e-01  1.893e+03  8.959e+03   5.9e-01  1.7e-03  2.7e+03  4.3e+00
    40  2.78910e-01  1.872e+03  6.645e+03   5.8e-01  1.1e-03  3.2e+03  7.1e+00
