OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:82:00.0
None
./trajdata100/train_c6h6n2o2_sto-3g.npy
Sizes of ptrain and pdot:
[(40000, 60, 60), (40000, 60, 60)]
len(theta) = 12960000
len(jac) = 144000000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 288000000 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    40000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  2.263e+03  2.250e+06   1.0e+00  4.4e-01
     1 -7.73554e-04  9.994e+02  4.065e+05   4.4e-01  3.7e-01  1.1e+03  1.0e+00
     2 -6.75984e-04  7.644e+02  2.821e+05   3.4e-01  2.9e-01  1.3e+03  2.0e+00
     3 -3.89073e-04  5.171e+02  1.604e+05   2.3e-01  1.9e-01  1.6e+03  1.9e+00
     4 -3.92584e-04  3.898e+02  1.152e+05   1.7e-01  1.7e-01  1.7e+03  2.4e+00
     5 -4.66916e-04  2.899e+02  7.702e+04   1.3e-01  1.3e-01  2.0e+03  2.0e+00
     6 -6.77468e-04  2.198e+02  5.677e+04   9.7e-02  1.2e-01  2.1e+03  2.7e+00
     7 -9.44839e-04  1.689e+02  4.089e+04   7.5e-02  1.1e-01  2.3e+03  2.2e+00
     8 -1.29009e-03  1.240e+02  2.829e+04   5.5e-02  9.4e-02  2.4e+03  2.7e+00
     9 -1.49005e-03  1.036e+02  2.131e+04   4.6e-02  8.0e-02  2.6e+03  2.2e+00
    10 -1.70153e-03  8.215e+01  1.361e+04   3.6e-02  6.1e-02  2.7e+03  2.7e+00
    20 -1.70413e-03  5.658e+01  1.696e+03   2.5e-02  8.0e-03  3.7e+03  4.2e+00
    30 -1.82216e-03  5.082e+01  1.273e+03   2.2e-02  5.5e-03  4.5e+03  8.1e+00
    40 -2.08972e-03  4.150e+01  7.559e+02   1.8e-02  3.5e-03  5.2e+03  1.7e+01
    50 -2.59450e-03  3.164e+01  4.874e+02   1.4e-02  2.6e-03  5.9e+03  6.3e+00
    60 -2.78939e-03  2.907e+01  4.169e+02   1.3e-02  2.2e-03  6.4e+03  9.5e+00
    70 -3.19685e-03  2.459e+01  3.083e+02   1.1e-02  1.8e-03  6.9e+03  1.3e+01
    80 -3.56033e-03  2.075e+01  2.301e+02   9.2e-03  1.5e-03  7.4e+03  7.5e+00
    90 -3.67655e-03  1.951e+01  2.040e+02   8.6e-03  1.3e-03  7.8e+03  1.6e+01
   100 -3.88095e-03  1.717e+01  1.591e+02   7.6e-03  1.1e-03  8.3e+03  2.1e+01
   110 -4.06315e-03  1.528e+01  1.289e+02   6.8e-03  9.8e-04  8.6e+03  9.0e+00
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120 -4.16676e-03  1.443e+01  1.162e+02   6.4e-03  8.9e-04  9.1e+03  1.2e+01
   130 -4.35905e-03  1.314e+01  9.649e+01   5.8e-03  7.8e-04  9.4e+03  2.2e+01
   140 -4.58470e-03  1.196e+01  8.109e+01   5.3e-03  6.9e-04  9.8e+03  1.4e+01
   150 -4.80318e-03  1.101e+01  7.033e+01   4.9e-03  6.3e-04  1.0e+04  6.5e+00
   160 -4.93085e-03  1.052e+01  6.433e+01   4.7e-03  5.9e-04  1.0e+04  1.4e+01
   170 -5.16111e-03  9.741e+00  5.546e+01   4.3e-03  5.3e-04  1.1e+04  2.4e+01
   180 -5.37485e-03  9.090e+00  4.897e+01   4.0e-03  4.9e-04  1.1e+04  1.1e+01
   190 -5.46775e-03  8.831e+00  4.623e+01   3.9e-03  4.6e-04  1.1e+04  2.1e+01
   200 -5.68183e-03  8.258e+00  4.077e+01   3.6e-03  4.2e-04  1.2e+04  3.4e+01
   210 -5.87925e-03  7.736e+00  3.635e+01   3.4e-03  3.9e-04  1.2e+04  1.0e+01
   220 -5.97714e-03  7.477e+00  3.423e+01   3.3e-03  3.7e-04  1.2e+04  1.1e+01
   230 -6.12306e-03  7.096e+00  3.108e+01   3.1e-03  3.5e-04  1.2e+04  2.4e+01
   240 -6.27989e-03  6.663e+00  2.774e+01   2.9e-03  3.3e-04  1.3e+04  2.0e+01
   250 -6.36385e-03  6.406e+00  2.589e+01   2.8e-03  3.1e-04  1.3e+04  1.2e+01
   260 -6.43635e-03  6.188e+00  2.420e+01   2.7e-03  2.9e-04  1.3e+04  3.0e+01
   270 -6.53191e-03  5.861e+00  2.185e+01   2.6e-03  2.8e-04  1.4e+04  2.2e+01
   280 -6.59006e-03  5.629e+00  2.034e+01   2.5e-03  2.6e-04  1.4e+04  1.2e+01
   290 -6.62326e-03  5.491e+00  1.944e+01   2.4e-03  2.5e-04  1.4e+04  2.8e+01
   300 -6.67356e-03  5.258e+00  1.800e+01   2.3e-03  2.4e-04  1.4e+04  3.6e+01
   310 -6.71853e-03  5.013e+00  1.660e+01   2.2e-03  2.3e-04  1.4e+04  2.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320 -6.74392e-03  4.847e+00  1.570e+01   2.1e-03  2.2e-04  1.5e+04  1.7e+01
   330 -6.76476e-03  4.700e+00  1.487e+01   2.1e-03  2.1e-04  1.5e+04  2.6e+01
   340 -6.78575e-03  4.487e+00  1.373e+01   2.0e-03  2.0e-04  1.5e+04  2.9e+01
   350 -6.79568e-03  4.289e+00  1.272e+01   1.9e-03  1.9e-04  1.5e+04  1.5e+01
   360 -6.79758e-03  4.185e+00  1.220e+01   1.8e-03  1.9e-04  1.6e+04  1.9e+01
   370 -6.79810e-03  4.054e+00  1.152e+01   1.8e-03  1.8e-04  1.6e+04  3.8e+01
   380 -6.79232e-03  3.882e+00  1.066e+01   1.7e-03  1.7e-04  1.6e+04  4.3e+01
   390 -6.78248e-03  3.735e+00  9.958e+00   1.7e-03  1.6e-04  1.6e+04  1.2e+01
   400 -6.77581e-03  3.648e+00  9.553e+00   1.6e-03  1.6e-04  1.6e+04  1.1e+01
   410 -6.76874e-03  3.560e+00  9.131e+00   1.6e-03  1.5e-04  1.7e+04  3.6e+01
   420 -6.75952e-03  3.435e+00  8.568e+00   1.5e-03  1.5e-04  1.7e+04  4.7e+01
   430 -6.75320e-03  3.321e+00  8.081e+00   1.5e-03  1.4e-04  1.7e+04  2.0e+01
   440 -6.75096e-03  3.261e+00  7.831e+00   1.4e-03  1.4e-04  1.7e+04  1.9e+01
   450 -6.74854e-03  3.173e+00  7.457e+00   1.4e-03  1.3e-04  1.7e+04  4.7e+01
   460 -6.74727e-03  3.070e+00  7.041e+00   1.4e-03  1.3e-04  1.8e+04  1.8e+01
   470 -6.74697e-03  3.012e+00  6.814e+00   1.3e-03  1.3e-04  1.8e+04  1.6e+01
   480 -6.74671e-03  2.938e+00  6.516e+00   1.3e-03  1.2e-04  1.8e+04  3.7e+01
   490 -6.74601e-03  2.848e+00  6.167e+00   1.3e-03  1.2e-04  1.8e+04  3.7e+01
   500 -6.74357e-03  2.766e+00  5.860e+00   1.2e-03  1.2e-04  1.8e+04  1.5e+01
   510 -6.74202e-03  2.731e+00  5.730e+00   1.2e-03  1.1e-04  1.9e+04  3.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520 -6.73770e-03  2.656e+00  5.458e+00   1.2e-03  1.1e-04  1.9e+04  6.0e+01
   530 -6.73217e-03  2.575e+00  5.169e+00   1.1e-03  1.1e-04  1.9e+04  2.8e+01
   540 -6.72928e-03  2.535e+00  5.033e+00   1.1e-03  1.0e-04  1.9e+04  1.4e+01
   550 -6.72520e-03  2.481e+00  4.843e+00   1.1e-03  1.0e-04  1.9e+04  5.4e+01
   560 -6.71985e-03  2.412e+00  4.606e+00   1.1e-03  9.8e-05  1.9e+04  5.2e+01
   570 -6.71551e-03  2.349e+00  4.399e+00   1.0e-03  9.5e-05  2.0e+04  2.0e+01
   580 -6.71377e-03  2.317e+00  4.294e+00   1.0e-03  9.4e-05  2.0e+04  2.7e+01
   590 -6.71178e-03  2.270e+00  4.141e+00   1.0e-03  9.1e-05  2.0e+04  4.8e+01
   600 -6.71105e-03  2.215e+00  3.966e+00   9.8e-04  8.9e-05  2.0e+04  2.8e+01
   610 -6.71132e-03  2.181e+00  3.860e+00   9.6e-04  8.7e-05  2.0e+04  2.6e+01
   620 -6.71219e-03  2.141e+00  3.736e+00   9.5e-04  8.5e-05  2.0e+04  5.4e+01
   630 -6.71537e-03  2.086e+00  3.569e+00   9.2e-04  8.3e-05  2.1e+04  3.3e+01
   640 -6.72063e-03  2.039e+00  3.429e+00   9.0e-04  8.1e-05  2.1e+04  1.8e+01
   650 -6.72528e-03  2.009e+00  3.343e+00   8.9e-04  7.9e-05  2.1e+04  1.9e+01
   660 -6.73164e-03  1.974e+00  3.241e+00   8.7e-04  7.8e-05  2.1e+04  5.9e+01
   670 -6.74334e-03  1.927e+00  3.108e+00   8.5e-04  7.6e-05  2.1e+04  4.3e+01
   680 -6.75618e-03  1.888e+00  3.001e+00   8.3e-04  7.4e-05  2.1e+04  2.2e+01
   690 -6.76574e-03  1.863e+00  2.931e+00   8.2e-04  7.3e-05  2.2e+04  3.0e+01
   700 -6.78106e-03  1.827e+00  2.832e+00   8.1e-04  7.1e-05  2.2e+04  5.4e+01
   710 -6.80098e-03  1.786e+00  2.720e+00   7.9e-04  6.9e-05  2.2e+04  4.5e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720 -6.82126e-03  1.748e+00  2.621e+00   7.7e-04  6.8e-05  2.2e+04  2.4e+01
   730 -6.83452e-03  1.725e+00  2.562e+00   7.6e-04  6.7e-05  2.2e+04  2.3e+01
   740 -6.85124e-03  1.698e+00  2.491e+00   7.5e-04  6.6e-05  2.2e+04  5.3e+01
   750 -6.87594e-03  1.662e+00  2.397e+00   7.3e-04  6.4e-05  2.3e+04  2.7e+01
   760 -6.89839e-03  1.632e+00  2.323e+00   7.2e-04  6.3e-05  2.3e+04  2.4e+01
   770 -6.91352e-03  1.614e+00  2.276e+00   7.1e-04  6.2e-05  2.3e+04  3.3e+01
   780 -6.93861e-03  1.585e+00  2.205e+00   7.0e-04  6.1e-05  2.3e+04  5.9e+01
   790 -6.96887e-03  1.554e+00  2.129e+00   6.9e-04  5.9e-05  2.3e+04  3.5e+01
   800 -6.98780e-03  1.536e+00  2.086e+00   6.8e-04  5.8e-05  2.3e+04  1.8e+01
   810 -7.01054e-03  1.515e+00  2.035e+00   6.7e-04  5.7e-05  2.3e+04  6.8e+01
   820 -7.04530e-03  1.486e+00  1.965e+00   6.6e-04  5.6e-05  2.4e+04  5.3e+01
   830 -7.07796e-03  1.460e+00  1.904e+00   6.5e-04  5.5e-05  2.4e+04  2.1e+01
   840 -7.09297e-03  1.449e+00  1.878e+00   6.4e-04  5.4e-05  2.4e+04  4.0e+01
   850 -7.12687e-03  1.424e+00  1.821e+00   6.3e-04  5.3e-05  2.4e+04  4.6e+01
   860 -7.16193e-03  1.400e+00  1.766e+00   6.2e-04  5.2e-05  2.4e+04  2.3e+01
   870 -7.18049e-03  1.388e+00  1.738e+00   6.1e-04  5.2e-05  2.4e+04  2.9e+01
   880 -7.21289e-03  1.367e+00  1.691e+00   6.0e-04  5.1e-05  2.4e+04  5.1e+01
   890 -7.25258e-03  1.342e+00  1.638e+00   5.9e-04  5.0e-05  2.5e+04  3.7e+01
   900 -7.28404e-03  1.324e+00  1.597e+00   5.9e-04  4.9e-05  2.5e+04  2.3e+01
   910 -7.30484e-03  1.312e+00  1.571e+00   5.8e-04  4.8e-05  2.5e+04  3.1e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   920 -7.34222e-03  1.291e+00  1.526e+00   5.7e-04  4.7e-05  2.5e+04  4.4e+01
   930 -7.38157e-03  1.269e+00  1.481e+00   5.6e-04  4.7e-05  2.5e+04  2.4e+01
   940 -7.40917e-03  1.255e+00  1.451e+00   5.5e-04  4.6e-05  2.5e+04  2.2e+01
   950 -7.43477e-03  1.241e+00  1.423e+00   5.5e-04  4.5e-05  2.5e+04  4.2e+01
   960 -7.47180e-03  1.222e+00  1.384e+00   5.4e-04  4.4e-05  2.5e+04  3.4e+01
   970 -7.50322e-03  1.206e+00  1.352e+00   5.3e-04  4.4e-05  2.6e+04  2.3e+01
