OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:03:00.0
None
Sizes of ptrain and pdot:
[(79920, 29, 29), (79920, 29, 29)]
len(theta) = 707281
len(jac) = 67212720
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 134425440 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  7.035e+02  2.292e+04   1.0e+00  4.6e-02
     1  1.27215e-01  5.635e+02  6.637e+03   8.0e-01  2.2e-01  5.4e+01  1.0e+00
     2  1.90522e-01  5.462e+02  3.657e+03   7.8e-01  8.9e-02  7.5e+01  1.2e+00
     3  2.18243e-01  5.411e+02  2.678e+03   7.7e-01  5.0e-02  9.9e+01  1.2e+00
     4  2.39106e-01  5.376e+02  2.006e+03   7.6e-01  2.8e-02  1.3e+02  1.5e+00
     5  2.52785e-01  5.340e+02  1.616e+03   7.6e-01  2.0e-02  1.5e+02  2.5e+00
     6  2.57343e-01  5.322e+02  1.464e+03   7.6e-01  1.7e-02  1.6e+02  2.5e+00
     7  2.61663e-01  5.291e+02  1.259e+03   7.5e-01  1.3e-02  1.8e+02  2.7e+00
     8  2.62182e-01  5.268e+02  1.111e+03   7.5e-01  1.1e-02  2.0e+02  2.8e+00
     9  2.60855e-01  5.254e+02  1.040e+03   7.5e-01  9.6e-03  2.1e+02  3.3e+00
    10  2.57267e-01  5.226e+02  9.167e+02   7.4e-01  7.9e-03  2.2e+02  3.4e+00
    20  2.67967e-01  5.114e+02  4.148e+02   7.3e-01  2.5e-03  3.2e+02  3.9e+00
    30  2.74013e-01  5.064e+02  2.544e+02   7.2e-01  1.3e-03  4.0e+02  6.0e+00
    40  2.91315e-01  5.034e+02  1.805e+02   7.2e-01  7.8e-04  4.6e+02  6.1e+00
    50  3.01533e-01  5.013e+02  1.384e+02   7.1e-01  5.4e-04  5.1e+02  6.8e+00
    60  3.02883e-01  4.997e+02  1.103e+02   7.1e-01  3.9e-04  5.6e+02  7.9e+00
    70  2.90779e-01  4.983e+02  9.113e+01   7.1e-01  3.0e-04  6.1e+02  7.7e+00
    80  2.78078e-01  4.973e+02  7.727e+01   7.1e-01  2.4e-04  6.5e+02  9.4e+00
    90  2.70072e-01  4.964e+02  6.714e+01   7.1e-01  2.0e-04  6.8e+02  9.9e+00
   100  2.62150e-01  4.956e+02  5.856e+01   7.0e-01  1.7e-04  7.2e+02  1.1e+01
   110  2.54945e-01  4.949e+02  5.237e+01   7.0e-01  1.4e-04  7.5e+02  9.2e+00
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120  2.43576e-01  4.943e+02  4.689e+01   7.0e-01  1.2e-04  7.8e+02  1.2e+01
   130  2.30674e-01  4.938e+02  4.281e+01   7.0e-01  1.1e-04  8.1e+02  9.0e+00
   140  2.13944e-01  4.934e+02  3.910e+01   7.0e-01  9.4e-05  8.4e+02  1.1e+01
   150  2.01259e-01  4.929e+02  3.591e+01   7.0e-01  8.4e-05  8.7e+02  1.3e+01
   160  1.92790e-01  4.926e+02  3.336e+01   7.0e-01  7.5e-05  9.0e+02  1.3e+01
   170  1.86905e-01  4.922e+02  3.106e+01   7.0e-01  6.8e-05  9.3e+02  1.1e+01
   180  1.81618e-01  4.919e+02  2.897e+01   7.0e-01  6.2e-05  9.5e+02  1.3e+01
   190  1.76614e-01  4.916e+02  2.714e+01   7.0e-01  5.6e-05  9.8e+02  1.3e+01
   200  1.71373e-01  4.913e+02  2.553e+01   7.0e-01  5.2e-05  1.0e+03  1.5e+01
   210  1.66600e-01  4.910e+02  2.405e+01   7.0e-01  4.8e-05  1.0e+03  1.3e+01
   220  1.62323e-01  4.908e+02  2.269e+01   7.0e-01  4.4e-05  1.1e+03  1.5e+01
   230  1.60291e-01  4.905e+02  2.155e+01   7.0e-01  4.1e-05  1.1e+03  1.4e+01
   240  1.58788e-01  4.903e+02  2.043e+01   7.0e-01  3.8e-05  1.1e+03  1.6e+01
   250  1.57256e-01  4.901e+02  1.944e+01   7.0e-01  3.5e-05  1.1e+03  1.6e+01
   260  1.54689e-01  4.899e+02  1.854e+01   7.0e-01  3.3e-05  1.1e+03  1.7e+01
   270  1.52476e-01  4.897e+02  1.775e+01   7.0e-01  3.1e-05  1.2e+03  1.3e+01
   280  1.51628e-01  4.896e+02  1.698e+01   7.0e-01  2.9e-05  1.2e+03  1.7e+01
   290  1.51282e-01  4.894e+02  1.628e+01   7.0e-01  2.8e-05  1.2e+03  1.5e+01
   300  1.51069e-01  4.892e+02  1.562e+01   7.0e-01  2.6e-05  1.2e+03  1.9e+01
   310  1.51333e-01  4.891e+02  1.498e+01   7.0e-01  2.5e-05  1.2e+03  1.7e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320  1.51118e-01  4.889e+02  1.438e+01   6.9e-01  2.3e-05  1.3e+03  1.9e+01
   330  1.50224e-01  4.888e+02  1.383e+01   6.9e-01  2.2e-05  1.3e+03  2.0e+01
   340  1.50204e-01  4.886e+02  1.333e+01   6.9e-01  2.1e-05  1.3e+03  1.9e+01
   350  1.50686e-01  4.885e+02  1.285e+01   6.9e-01  2.0e-05  1.3e+03  2.0e+01
   360  1.51701e-01  4.884e+02  1.241e+01   6.9e-01  1.9e-05  1.3e+03  2.0e+01
   370  1.52944e-01  4.883e+02  1.200e+01   6.9e-01  1.8e-05  1.4e+03  2.1e+01
   380  1.54575e-01  4.882e+02  1.161e+01   6.9e-01  1.7e-05  1.4e+03  1.7e+01
   390  1.56020e-01  4.881e+02  1.123e+01   6.9e-01  1.6e-05  1.4e+03  1.6e+01
   400  1.57084e-01  4.880e+02  1.087e+01   6.9e-01  1.6e-05  1.4e+03  2.0e+01
   410  1.58271e-01  4.879e+02  1.052e+01   6.9e-01  1.5e-05  1.4e+03  1.6e+01
   420  1.59596e-01  4.878e+02  1.022e+01   6.9e-01  1.4e-05  1.4e+03  2.2e+01
   430  1.61299e-01  4.877e+02  9.923e+00   6.9e-01  1.4e-05  1.5e+03  2.3e+01
   440  1.63408e-01  4.876e+02  9.637e+00   6.9e-01  1.3e-05  1.5e+03  2.3e+01
   450  1.65837e-01  4.875e+02  9.367e+00   6.9e-01  1.3e-05  1.5e+03  2.3e+01
   460  1.68628e-01  4.874e+02  9.105e+00   6.9e-01  1.2e-05  1.5e+03  2.3e+01
   470  1.71593e-01  4.873e+02  8.851e+00   6.9e-01  1.2e-05  1.5e+03  2.4e+01
   480  1.74218e-01  4.873e+02  8.620e+00   6.9e-01  1.1e-05  1.5e+03  2.5e+01
   490  1.76927e-01  4.872e+02  8.401e+00   6.9e-01  1.1e-05  1.6e+03  2.6e+01
   500  1.79638e-01  4.871e+02  8.195e+00   6.9e-01  1.1e-05  1.6e+03  2.7e+01
   510  1.82864e-01  4.870e+02  7.992e+00   6.9e-01  1.0e-05  1.6e+03  2.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   520  1.86223e-01  4.870e+02  7.806e+00   6.9e-01  9.9e-06  1.6e+03  2.2e+01
   530  1.89990e-01  4.869e+02  7.615e+00   6.9e-01  9.6e-06  1.6e+03  2.5e+01
   540  1.93712e-01  4.869e+02  7.434e+00   6.9e-01  9.3e-06  1.6e+03  1.9e+01
   550  1.97358e-01  4.868e+02  7.261e+00   6.9e-01  9.0e-06  1.7e+03  2.3e+01
   560  2.01074e-01  4.867e+02  7.094e+00   6.9e-01  8.7e-06  1.7e+03  2.5e+01
   570  2.05017e-01  4.867e+02  6.940e+00   6.9e-01  8.4e-06  1.7e+03  2.0e+01
   580  2.09243e-01  4.866e+02  6.785e+00   6.9e-01  8.2e-06  1.7e+03  2.0e+01
   590  2.13492e-01  4.866e+02  6.640e+00   6.9e-01  7.9e-06  1.7e+03  2.0e+01
   600  2.17667e-01  4.865e+02  6.502e+00   6.9e-01  7.7e-06  1.7e+03  2.1e+01
   610  2.22396e-01  4.864e+02  6.356e+00   6.9e-01  7.5e-06  1.7e+03  2.8e+01
   620  2.26608e-01  4.864e+02  6.228e+00   6.9e-01  7.3e-06  1.8e+03  2.5e+01
   630  2.30878e-01  4.863e+02  6.101e+00   6.9e-01  7.1e-06  1.8e+03  2.8e+01
   640  2.35266e-01  4.863e+02  5.978e+00   6.9e-01  6.9e-06  1.8e+03  2.9e+01
   650  2.39563e-01  4.862e+02  5.862e+00   6.9e-01  6.7e-06  1.8e+03  2.3e+01
   660  2.43852e-01  4.862e+02  5.748e+00   6.9e-01  6.5e-06  1.8e+03  2.7e+01
   670  2.48266e-01  4.862e+02  5.637e+00   6.9e-01  6.3e-06  1.8e+03  2.8e+01
   680  2.53156e-01  4.861e+02  5.521e+00   6.9e-01  6.2e-06  1.8e+03  3.1e+01
   690  2.57545e-01  4.861e+02  5.421e+00   6.9e-01  6.0e-06  1.9e+03  3.1e+01
   700  2.62188e-01  4.860e+02  5.322e+00   6.9e-01  5.9e-06  1.9e+03  2.9e+01
   710  2.66430e-01  4.860e+02  5.235e+00   6.9e-01  5.7e-06  1.9e+03  2.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   720  2.70900e-01  4.859e+02  5.145e+00   6.9e-01  5.6e-06  1.9e+03  2.4e+01
   730  2.76039e-01  4.859e+02  5.044e+00   6.9e-01  5.4e-06  1.9e+03  2.7e+01
   740  2.80847e-01  4.859e+02  4.957e+00   6.9e-01  5.3e-06  1.9e+03  2.6e+01
   750  2.85563e-01  4.858e+02  4.874e+00   6.9e-01  5.2e-06  1.9e+03  2.9e+01
   760  2.90402e-01  4.858e+02  4.790e+00   6.9e-01  5.1e-06  1.9e+03  2.5e+01
   770  2.95139e-01  4.858e+02  4.708e+00   6.9e-01  4.9e-06  2.0e+03  3.0e+01
   780  2.99798e-01  4.857e+02  4.630e+00   6.9e-01  4.8e-06  2.0e+03  2.7e+01
   790  3.04677e-01  4.857e+02  4.553e+00   6.9e-01  4.7e-06  2.0e+03  3.0e+01
   800  3.09413e-01  4.857e+02  4.479e+00   6.9e-01  4.6e-06  2.0e+03  3.0e+01
   810  3.13955e-01  4.856e+02  4.410e+00   6.9e-01  4.5e-06  2.0e+03  2.8e+01
