OS                           : Linux-5.14.21-150400.24.69_12.0.74-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:41:00.0
None
Size of p_train:
(20000, 29, 29)
len(theta) = 707281
len(jac) = 16816636
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 33633272 rows and 707281 columns
damp = 0.00000000000000e+00

atol = 1.00e-32                 conlim = 1.00e+08

btol = 1.00e-32             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  1.633e+02  1.868e+04   1.0e+00  7.0e-01
     1  3.35556e-03  9.561e+01  5.812e+03   5.9e-01  4.3e-01  1.4e+02  1.0e+00
     2  8.30672e-03  7.585e+01  1.979e+03   4.6e-01  1.4e-01  1.8e+02  1.5e+00
     3  1.24536e-02  7.104e+01  1.262e+03   4.4e-01  8.9e-02  2.0e+02  2.1e+00
     4  1.61951e-02  6.885e+01  7.075e+02   4.2e-01  4.3e-02  2.4e+02  1.7e+00
     5  1.88386e-02  6.785e+01  5.198e+02   4.2e-01  3.0e-02  2.6e+02  2.6e+00
     6  2.13290e-02  6.716e+01  3.748e+02   4.1e-01  2.0e-02  2.8e+02  2.4e+00
     7  2.26717e-02  6.684e+01  3.020e+02   4.1e-01  1.5e-02  3.0e+02  2.4e+00
     8  2.37553e-02  6.655e+01  2.590e+02   4.1e-01  1.2e-02  3.2e+02  3.6e+00
     9  2.50529e-02  6.622e+01  2.196e+02   4.1e-01  1.0e-02  3.3e+02  3.9e+00
    10  2.56969e-02  6.606e+01  2.026e+02   4.0e-01  8.8e-03  3.5e+02  3.6e+00
    20  3.18829e-02  6.435e+01  8.522e+01   3.9e-01  2.7e-03  4.9e+02  6.1e+00
    30  3.69477e-02  6.324e+01  5.838e+01   3.9e-01  1.6e-03  5.8e+02  6.8e+00
    40  4.60426e-02  6.231e+01  4.105e+01   3.8e-01  9.9e-04  6.6e+02  1.1e+01
